002792	 cycle: 	10	 failed: 	0	 success: 	1
002792	 cycle: 	12	 failed: 	16	 success: 	1
002792	 cycle: 	14	 failed: 	18	 success: 	1
002792	 cycle: 	16	 failed: 	17	 success: 	1
002792	 cycle: 	17	 failed: 	1	 success: 	1
002792	 cycle: 	19	 failed: 	0	 success: 	1



002789	 cycle: 	12	 failed: 	0	 success: 	1
002789	 cycle: 	13	 failed: 	0	 success: 	1
002789	 cycle: 	14	 failed: 	0	 success: 	1
002789	 cycle: 	16	 failed: 	0	 success: 	1















002779	 cycle: 	7	 failed: 	17	 success: 	2
002779	 cycle: 	9	 failed: 	15	 success: 	1
002779	 cycle: 	10	 failed: 	7	 success: 	1
002779	 cycle: 	11	 failed: 	23	 success: 	2
002779	 cycle: 	13	 failed: 	27	 success: 	1
002779	 cycle: 	18	 failed: 	20	 success: 	1









002778	 cycle: 	7	 failed: 	6	 success: 	1
002778	 cycle: 	8	 failed: 	13	 success: 	1
002778	 cycle: 	9	 failed: 	1	 success: 	1
002778	 cycle: 	13	 failed: 	1	 success: 	1
002778	 cycle: 	18	 failed: 	0	 success: 	1
002778	 cycle: 	19	 failed: 	0	 success: 	1
002778	 cycle: 	20	 failed: 	0	 success: 	1



002786	 cycle: 	8	 failed: 	16	 success: 	2
002786	 cycle: 	9	 failed: 	25	 success: 	2
002786	 cycle: 	10	 failed: 	0	 success: 	1
002786	 cycle: 	11	 failed: 	21	 success: 	1
002786	 cycle: 	13	 failed: 	1	 success: 	1
002786	 cycle: 	14	 failed: 	14	 success: 	2
002786	 cycle: 	15	 failed: 	0	 success: 	1
002786	 cycle: 	16	 failed: 	0	 success: 	1
002786	 cycle: 	17	 failed: 	0	 success: 	1
002786	 cycle: 	18	 failed: 	0	 success: 	2



002777	 cycle: 	11	 failed: 	18	 success: 	1
002777	 cycle: 	12	 failed: 	46	 success: 	1
002777	 cycle: 	18	 failed: 	7	 success: 	1
002777	 cycle: 	19	 failed: 	16	 success: 	2
002777	 cycle: 	20	 failed: 	5	 success: 	1



002782	 cycle: 	8	 failed: 	14	 success: 	2
002782	 cycle: 	9	 failed: 	21	 success: 	3
002782	 cycle: 	10	 failed: 	4	 success: 	4
002782	 cycle: 	14	 failed: 	0	 success: 	1
002782	 cycle: 	15	 failed: 	0	 success: 	1
002782	 cycle: 	16	 failed: 	0	 success: 	1



002787	 cycle: 	8	 failed: 	3	 success: 	3
002787	 cycle: 	9	 failed: 	0	 success: 	1
002787	 cycle: 	15	 failed: 	50	 success: 	1
002787	 cycle: 	20	 failed: 	0	 success: 	1



002785	 cycle: 	7	 failed: 	5	 success: 	1
002785	 cycle: 	12	 failed: 	19	 success: 	1
002785	 cycle: 	15	 failed: 	14	 success: 	1
002785	 cycle: 	19	 failed: 	15	 success: 	1



002781	 cycle: 	7	 failed: 	8	 success: 	1
002781	 cycle: 	9	 failed: 	21	 success: 	2
002781	 cycle: 	10	 failed: 	7	 success: 	1
002781	 cycle: 	13	 failed: 	12	 success: 	2
002781	 cycle: 	16	 failed: 	0	 success: 	1
002781	 cycle: 	19	 failed: 	14	 success: 	1
002781	 cycle: 	20	 failed: 	2	 success: 	1



002771	 cycle: 	8	 failed: 	23	 success: 	2
002771	 cycle: 	9	 failed: 	2	 success: 	1
002771	 cycle: 	13	 failed: 	10	 success: 	3
002771	 cycle: 	20	 failed: 	5	 success: 	1



002766	 cycle: 	7	 failed: 	13	 success: 	4
002766	 cycle: 	9	 failed: 	40	 success: 	2
002766	 cycle: 	10	 failed: 	15	 success: 	1
002766	 cycle: 	13	 failed: 	1	 success: 	1
002766	 cycle: 	17	 failed: 	4	 success: 	4
002766	 cycle: 	18	 failed: 	23	 success: 	4
002766	 cycle: 	19	 failed: 	26	 success: 	1



002772	 cycle: 	7	 failed: 	39	 success: 	3
002772	 cycle: 	10	 failed: 	20	 success: 	2
002772	 cycle: 	11	 failed: 	19	 success: 	2
002772	 cycle: 	12	 failed: 	38	 success: 	1
002772	 cycle: 	14	 failed: 	18	 success: 	1
002772	 cycle: 	15	 failed: 	25	 success: 	2
002772	 cycle: 	17	 failed: 	20	 success: 	2
002772	 cycle: 	18	 failed: 	31	 success: 	1
002772	 cycle: 	19	 failed: 	49	 success: 	2
002772	 cycle: 	20	 failed: 	39	 success: 	1



002776	 cycle: 	7	 failed: 	21	 success: 	1
002776	 cycle: 	10	 failed: 	13	 success: 	1
002776	 cycle: 	12	 failed: 	20	 success: 	2
002776	 cycle: 	13	 failed: 	20	 success: 	1
002776	 cycle: 	15	 failed: 	26	 success: 	1
002776	 cycle: 	17	 failed: 	33	 success: 	3
002776	 cycle: 	18	 failed: 	49	 success: 	3



002775	 cycle: 	11	 failed: 	17	 success: 	1
002775	 cycle: 	12	 failed: 	2	 success: 	1
002775	 cycle: 	13	 failed: 	15	 success: 	2
002775	 cycle: 	14	 failed: 	0	 success: 	1
002775	 cycle: 	15	 failed: 	2	 success: 	1
002775	 cycle: 	16	 failed: 	1	 success: 	2
002775	 cycle: 	18	 failed: 	0	 success: 	1
002775	 cycle: 	20	 failed: 	10	 success: 	2



002762	 cycle: 	8	 failed: 	15	 success: 	1
002762	 cycle: 	14	 failed: 	32	 success: 	1



002768	 cycle: 	7	 failed: 	12	 success: 	2
002768	 cycle: 	8	 failed: 	35	 success: 	2
002768	 cycle: 	9	 failed: 	21	 success: 	2
002768	 cycle: 	10	 failed: 	38	 success: 	5
002768	 cycle: 	11	 failed: 	7	 success: 	3
002768	 cycle: 	12	 failed: 	3	 success: 	1
002768	 cycle: 	13	 failed: 	20	 success: 	2
002768	 cycle: 	14	 failed: 	11	 success: 	5
002768	 cycle: 	16	 failed: 	26	 success: 	5
002768	 cycle: 	17	 failed: 	9	 success: 	2
002768	 cycle: 	18	 failed: 	1	 success: 	1
002768	 cycle: 	19	 failed: 	24	 success: 	6
002768	 cycle: 	20	 failed: 	33	 success: 	4



002773	 cycle: 	9	 failed: 	38	 success: 	1
002773	 cycle: 	13	 failed: 	0	 success: 	1
002773	 cycle: 	16	 failed: 	24	 success: 	1
002773	 cycle: 	18	 failed: 	36	 success: 	2
002773	 cycle: 	19	 failed: 	12	 success: 	2



002770	 cycle: 	7	 failed: 	14	 success: 	3
